Spieler_ID;Vereins_ID;Trikot_Nr;Spieler_Name;Land;Spiele;Tore;Vorlagen;
422;15;25;John Anthony Brooks;Vereinigte Staaten;7;0;0;
423;15;2;William;Brasilien;16;0;0;
424;15;35;Gian Luca Itter;Deutschland;5;0;0;
425;15;39;Paul Jaeckel;Deutschland;0;0;0;
426;15;24;Sebastian Jung;Deutschland;2;0;0;
427;15;31;Robin Knoche;Deutschland;18;0;0;
428;15;29;Marcel Tisserand;Kongo DR;14;0;0;
429;15;17;Felix Ohis Uduokhai;Deutschland;16;1;0;
430;15;5;Jeffrey Bruma;Niederlande;10;0;0;
431;15;3;Paul Verhaegh;Niederlande;26;2;0;
432;15;27;Maximilian Arnold;Deutschland;23;2;0;
433;15;6;Riechedly Bazoer;Niederlande;9;0;0;
434;15;16;Jakub Blaszczykowski;Polen;7;1;0;
435;15;4;Ignacio Camacho;Spanien;10;0;0;
436;15;11;Daniel Didavi;Deutschland;26;6;0;
437;15;13;Yannick Gerhardt;Deutschland;16;1;0;
438;15;23;Josuha Guilavogui;Frankreich;26;2;0;
439;15;10;Yunus Malli;Türkei;25;5;0;
440;15;26;Justin Möbius;Deutschland;0;0;0;
441;15;37;Elvis Rexhbecaj;Albanien;2;0;0;
442;15;8;Renato Steffen;Schweiz;10;0;0;
443;15;21;Josip Brekalo;Kroatien;9;1;0;
444;15;9;Nany Dimata;Belgien;17;0;0;
445;15;22;Admir Mehmedi;Schweiz;5;1;0;
446;15;14;Divock Origi;Belgien;25;5;0;
447;15;18;Victor Osimhen;Nigeria;11;0;0;
448;16;1;René Adler;Deutschland;10;0;0;
449;16;0;Julian Bauer;Deutschland;0;0;0;
450;16;37;Finn Gilbert Dahmen;Deutschland;0;0;0;
451;16;22;Florian Müller;Deutschland;3;0;0;
452;16;27;Robin Zentner;Deutschland;15;0;0;
453;16;3;Leon Balogun;Nigeria;12;0;0;
454;16;16;Stefan Bell;Deutschland;22;1;0;
455;16;18;Daniel Brosinski;Deutschland;24;1;0;
456;16;26;Niko Bungert;Deutschland;0;0;0;
457;16;4;Abdou Diallo;Frankreich;23;2;0;
458;16;2;Giulio Donati;Italien;25;0;0;
459;16;42;Alexander Hack;Deutschland;9;1;0;
460;16;13;Marin Sverko;Kroatien;0;0;0;
461;16;5;Nigel de Jong;Niederlande;6;0;0;
462;16;25;Jean-Philippe Gbamin;Elfenbeinküste;24;0;0;
463;16;38;Gerrit Holtmann;Deutschland;14;2;0;
464;16;6;Danny Latza;Deutschland;26;2;0;
465;16;10;Alexandru Maxim;Rumänien;18;1;0;
466;16;8;Levin Öztunali;Deutschland;19;0;0;
467;16;7;Robin Quaison;Schweden;20;4;0;
468;16;5;Jose Rodriguez;Spanien;0;0;0;
469;16;23;Suat Serdar;Deutschland;22;2;0;
470;16;34;Bote Baku;Deutschland;0;0;0;
471;16;11;Emil Berggreen;Dänemark;13;4;0;
472;16;32;Pablo De Blasis;Argentinien;19;1;0;
473;16;19;Kenan Kodro;Bosnien-Herzegowina;8;0;0;
474;16;30;Heinz Mörschel;Deutschland;0;0;0;
475;16;9;Yoshinori Muto;Japan;23;7;0;
476;16;21;Karim Onisiwo;Österreich;5;0;0;
477;16;20;Anthony Ujah;Nigeria;8;0;0;
478;17;1;Timo Horn;Deutschland;28;0;0;
479;17;18;Thomas Kessler;Deutschland;0;0;0;
480;17;35;Sven Müller;Deutschland;0;0;0;
481;17;40;Yann Bisseck;Deutschland;3;0;0;
482;17;14;Jonas Hector;Deutschland;14;0;0;
483;17;3;Dominique Heintz;Deutschland;25;1;0;
484;17;23;Jannes-Kilian Horn;Deutschland;9;0;0;
485;17;24;Lukas Klünter;Deutschland;18;1;0;
486;17;27;Filip Kusic;Deutschland;1;0;0;
487;17;5;Dominic Maroh;Slowenien;8;0;0;
488;17;22;Mere;Spanien;17;1;0;
489;17;16;Pawel Olkowski;Polen;5;0;0;
